property_id,url,property_type,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_equipped_kitchen,has_swimming_pool,has_open_fire,property_subtype,postal_code,locality,sale_type
VBD29697,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd29697,Apartment,250000.0,0.0,60.0,Excellent,2.0,,1.0,,,,,studio,1000.0,brussels,standard
VBD29392,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd29392,Apartment,1095000.0,3.0,268.0,Excellent,3.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD29818,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/vbd29818,Apartment,240000.0,2.0,95.0,To renovate,2.0,0.0,1.0,,,,,apartment,1120.0,neder-over-heembeek,standard
RBU34995,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/rbu34995,Apartment,249000.0,2.0,85.0,Normal,2.0,0.0,1.0,,,,,apartment,1020.0,laken,standard
VBD29764,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd29764,Apartment,290000.0,1.0,66.0,Normal,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
RWC40786,https://immovlan.be/en/detail/triplex/for-sale/1000/brussels/rwc40786,Apartment,589000.0,2.0,160.0,Normal,2.0,,1.0,,,,,triplex,1000.0,brussels,standard
VBD29814,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd29814,Apartment,180000.0,2.0,70.0,To renovate,4.0,0.0,1.0,,,,,apartment,1020.0,laken,standard
VBD31011,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd31011,Apartment,285000.0,,56.0,nan,,0.0,,,,,,studio,1000.0,brussels,standard
VBD32915,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd32915,Apartment,335000.0,1.0,57.0,Normal,3.0,0.0,,,,,,apartment,1000.0,brussels,standard
VWD15071,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vwd15071,Apartment,248000.0,2.0,100.0,Normal,2.0,,1.0,,,,,apartment,1020.0,laken,standard
VBD30963,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd30963,Apartment,275000.0,2.0,90.0,Normal,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD33013,https://immovlan.be/en/detail/ground-floor/for-sale/1000/brussels/vbd33013,Other,500000.0,2.0,113.0,Excellent,2.0,0.0,1.0,,,,,ground-floor,1000.0,brussels,standard
