,property_id,url,property_type,price,rooms,area,state,has_open_fire,property_subtype,postal_code,locality,sale_type,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,price_per_m2,log_price_m2,cluster,is_luxurious
10418,vbd43554,https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd43554,House,690000.0,4.0,231.0,Excellent,,residence,1120.0,neder-over-heembeek,standard,3.0,,1.0,1.0,,,2987.012987012987,8.00202916605165,0.0,False
10419,vbd43583,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd43583,House,139000.0,4.0,146.0,To renovate,,residence,4040.0,herstal,standard,2.0,0.0,1.0,1.0,No,Partially equipped,952.054794520548,6.858622590404492,0.0,False
10420,vbd43724,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd43724,House,129000.0,2.0,112.0,Normal,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,1.0,,,1151.7857142857142,7.049068812048715,0.0,False
10421,vbd43742,https://immovlan.be/en/detail/residence/for-sale/4040/herstal/vbd43742,House,150000.0,2.0,77.0,Normal,,residence,4040.0,herstal,standard,3.0,0.0,1.0,0.0,No,,1948.051948051948,7.574585151224709,0.0,False
10422,vbd43817,https://immovlan.be/en/detail/residence/for-sale/7520/templeuve/vbd43817,House,247000.0,4.0,158.0,,,residence,7520.0,templeuve,standard,2.0,0.0,0.0,1.0,,,1563.2911392405063,7.354548582583147,0.0,False
10423,vbd43818,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd43818,House,389000.0,3.0,175.0,To be renovated,,residence,7700.0,mouscron,standard,4.0,0.0,1.0,1.0,Yes,,2222.8571428571427,7.706548648677069,0.0,False
10424,vbd43879,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbd43879,House,1360000.0,4.0,312.0,Excellent,,residence,1300.0,wavre,standard,4.0,0.0,1.0,1.0,Yes,Super equipped,4358.974358974359,8.379992069902752,1.0,True
10425,vbd43908,https://immovlan.be/en/detail/mixed-building/for-sale/1300/wavre/vbd43908,Other,375000.0,1.0,200.0,To renovate,,mixed-building,1300.0,wavre,standard,,,,,,,1875.0,7.536363938404511,0.0,False
10426,vbd43981,https://immovlan.be/en/detail/residence/for-sale/7534/barry/vbd43981,House,285000.0,2.0,145.0,Normal,,residence,7534.0,barry,standard,4.0,0.0,1.0,1.0,,,1965.5172413793102,7.583510716830213,0.0,False
10427,vbd44092,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd44092,House,149000.0,3.0,143.0,To be renovated,,residence,7700.0,mouscron,standard,2.0,0.0,0.0,1.0,,,1041.958041958042,6.948856954667689,0.0,False
10428,vbd44094,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd44094,House,179000.0,3.0,141.0,,,residence,7700.0,mouscron,standard,2.0,0.0,1.0,1.0,,,1269.5035460992908,7.146381194444724,0.0,False
10429,vbd44107,https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd44107,House,125000.0,2.0,100.0,To be renovated,,residence,6060.0,gilly,standard,,0.0,0.0,1.0,,,1250.0,7.1308988302963465,0.0,False
10430,vbd44113,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd44113,House,157000.0,3.0,128.0,To be renovated,,residence,7700.0,mouscron,standard,3.0,0.0,1.0,1.0,,,1226.5625,7.111970820410828,0.0,False
10431,vbd44164,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd44164,House,339000.0,2.0,149.0,,,residence,7700.0,mouscron,standard,3.0,,1.0,1.0,,,2275.1677852348994,7.729809080417128,0.0,False
10433,vbd44278,https://immovlan.be/en/detail/residence/for-sale/7711/dottignies/vbd44278,House,389000.0,4.0,175.0,To be renovated,,residence,7711.0,dottignies,standard,4.0,0.0,1.0,1.0,Yes,,2222.8571428571427,7.706548648677069,0.0,False
10434,vbd44309,https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd44309,House,440000.0,4.0,145.0,To renovate,,residence,6700.0,arlon,standard,4.0,0.0,1.0,1.0,No,Fully equipped,3034.4827586206898,8.017796263473869,0.0,False
10435,vbd44338,https://immovlan.be/en/detail/residence/for-sale/7711/dottignies/vbd44338,House,259000.0,4.0,151.0,,,residence,7711.0,dottignies,standard,,,1.0,1.0,,,1715.23178807947,7.447303503866751,0.0,False
10436,vbd44359,https://immovlan.be/en/detail/residence/for-sale/1500/halle/vbd44359,House,310000.0,2.0,92.0,Normal,,residence,1500.0,halle,standard,2.0,0.0,1.0,1.0,No,,3369.5652173913045,8.122538999412289,0.0,False
10437,vbd44527,https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/vbd44527,Other,360000.0,2.0,247.0,Excellent,,mixed-building,7500.0,tournai,standard,2.0,0.0,1.0,0.0,No,,1457.48987854251,7.284470973804315,0.0,False
10438,vbd44568,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd44568,House,655000.0,4.0,359.0,Excellent,,residence,7700.0,mouscron,standard,3.0,0.0,1.0,1.0,No,Fully equipped,1824.5125348189415,7.50906812612911,1.0,True
10439,vbd44721,https://immovlan.be/en/detail/residence/for-sale/4219/wasseiges/vbd44721,House,475000.0,3.0,190.0,,,residence,4219.0,wasseiges,standard,4.0,0.0,1.0,1.0,,,2500.0,7.824046010856292,0.0,False
10440,vbd44724,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd44724,House,189000.0,,153.0,,,residence,7700.0,mouscron,standard,2.0,,1.0,1.0,,,1235.2941176470588,7.119064372649344,,False
10441,vbd44803,https://immovlan.be/en/detail/mixed-building/for-sale/6240/farciennes/vbd44803,Other,169000.0,3.0,315.0,To be renovated,,mixed-building,6240.0,farciennes,standard,2.0,,,1.0,,,536.5079365079365,6.285081355079577,0.0,False
10442,vbd44810,https://immovlan.be/en/detail/residence/for-sale/7500/tournai/vbd44810,House,180000.0,3.0,165.0,To renovate,,residence,7500.0,tournai,standard,2.0,0.0,1.0,1.0,No,,1090.909090909091,6.994766655971767,0.0,False
10443,vbd44838,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vbd44838,House,895000.0,4.0,221.0,New,,villa,1300.0,wavre,standard,4.0,0.0,1.0,1.0,No,,4049.7737556561087,8.30641629573924,1.0,True
10444,vbd44847,https://immovlan.be/en/detail/residence/for-sale/6560/erquelinnes/vbd44847,House,254000.0,5.0,160.0,,,residence,6560.0,erquelinnes,standard,,,,,,,1587.5,7.369915730766847,0.0,False
10445,vbd44848,https://immovlan.be/en/detail/villa/for-sale/6560/erquelinnes/vbd44848,House,254000.0,5.0,160.0,,,villa,6560.0,erquelinnes,standard,,,,,,,1587.5,7.369915730766847,0.0,False
10447,vbd45112,https://immovlan.be/en/detail/residence/for-sale/7522/marquain/vbd45112,House,360800.0,3.0,187.0,New,,residence,7522.0,marquain,standard,4.0,,,1.0,,,1929.4117647058824,7.564970450316019,0.0,False
10448,vbd45113,https://immovlan.be/en/detail/residence/for-sale/7522/hertain/vbd45113,House,339862.0,3.0,158.0,New,,residence,7522.0,hertain,standard,4.0,,,1.0,,,2151.025316455696,7.673699898819899,0.0,False
10449,vbd45114,https://immovlan.be/en/detail/residence/for-sale/7711/dottignies/vbd45114,House,515800.0,3.0,187.0,New,,residence,7711.0,dottignies,standard,4.0,,,1.0,,,2758.288770053476,7.922365755574795,0.0,False
10450,vbd45116,https://immovlan.be/en/detail/residence/for-sale/7522/marquain/vbd45116,House,331281.0,3.0,147.0,New,,residence,7522.0,marquain,standard,4.0,,,1.0,,,2253.612244897959,7.720289650030699,0.0,False
10451,vbd45117,https://immovlan.be/en/detail/residence/for-sale/7540/melles/vbd45117,House,445176.0,4.0,190.0,New,,residence,7540.0,melles,standard,4.0,,,1.0,,,2343.0315789473684,7.759200916414138,0.0,False
10452,vbd45200,https://immovlan.be/en/detail/villa/for-sale/7700/mouscron/vbd45200,House,310000.0,3.0,178.0,To be renovated,0.0,villa,7700.0,mouscron,standard,,,1.0,1.0,,,1741.573033707865,7.462544026169244,0.0,False
10453,vbd45258,https://immovlan.be/en/detail/residence/for-sale/5544/agimont/vbd45258,House,189000.0,3.0,81.0,Normal,,residence,5544.0,agimont,standard,3.0,,1.0,1.0,No,Fully equipped,2333.3333333333335,7.755053139369341,0.0,False
10454,vbd45297,https://immovlan.be/en/detail/master-house/for-sale/7522/marquain/vbd45297,Other,495000.0,6.0,370.0,Excellent,,master-house,7522.0,marquain,standard,4.0,0.0,1.0,1.0,,Fully equipped,1337.837837837838,7.198810035912557,1.0,True
10455,vbd45299,https://immovlan.be/en/detail/cottage/for-sale/7520/templeuve/vbd45299,House,1500000.0,5.0,960.0,Excellent,,cottage,7520.0,templeuve,standard,4.0,0.0,1.0,1.0,Yes,,1562.5,7.354042381610556,1.0,True
10456,vbd45300,https://immovlan.be/en/detail/villa/for-sale/5070/sart-saint-laurent/vbd45300,House,279000.0,3.0,153.0,Excellent,,villa,5070.0,sart-saint-laurent,standard,4.0,0.0,1.0,1.0,No,Fully equipped,1823.5294117647059,7.508529139411067,0.0,False
10457,vbd45314,https://immovlan.be/en/detail/residence/for-sale/6200/bouffioulx/vbd45314,House,149000.0,4.0,231.0,,,residence,6200.0,bouffioulx,standard,,,0.0,1.0,,,645.021645021645,6.469283874405803,0.0,False
10458,vbd45315,https://immovlan.be/en/detail/residence/for-sale/7100/haine-saint-pierre/vbd45315,House,224000.0,3.0,152.0,Normal,,residence,7100.0,haine-saint-pierre,standard,,,1.0,1.0,,,1473.6842105263158,7.295520809990901,0.0,False
10459,vbd45451,https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vbd45451,House,279000.0,5.0,232.0,Normal,,residence,6200.0,chatelet,standard,2.0,0.0,1.0,1.0,No,Fully equipped,1202.5862068965516,7.092229689137192,0.0,False
10460,vbd45534,https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd45534,House,259000.0,2.0,121.0,Normal,,residence,7700.0,mouscron,standard,3.0,,1.0,1.0,No,Fully equipped,2140.495867768595,7.668792795084934,0.0,False
10461,vbd45536,https://immovlan.be/en/detail/mixed-building/for-sale/4040/herstal/vbd45536,Other,250000.0,7.0,232.0,Excellent,,mixed-building,4040.0,herstal,standard,3.0,0.0,1.0,0.0,No,,1077.5862068965516,6.982478825178074,0.0,False
