property_id,url,property_type,price,number_of_bedrooms,municipality_url,livable_surface,vat,number_of_bathrooms,elevator,type_of_heating,state_of_the_property,specific_primary_energy_consumption,number_of_toilets,number_of_facades,flooding_area_type,furnished,availability,currently_leased,certification_electrical_installation,running_water,build_year,total_land_surface,cadastral_income,type_of_glazing,floor_of_appartment,garage,preemption_right,orientation_of_the_front_facade,epc_peb_reference,attic,surface_of_living_room,gas,surface_terrace,access_for_disabled,urbanism_affectation,number_of_parking_places_outdoor_,frontage_width,validity_date_epc_peb,number_of_floors,surface_garden,kitchen_equipment,sewer_connection,surface_kitchen,kitchen_type,surface_bedroom_1,ground_depth,surface_bedroom_2,the_property_and_or_its_surroundings_are_protected_,swimming_pool,alarm,building_permission_granted,surface_bedroom_3,cellar,yearly_total_primary_energy_consumption,buildable_surface,terrain_width_at_the_roadside,number_of_garages,planning_permission_granted,balcony,postal_code,municipality,air_conditioning,g_score,p_score,surface_bedroom_4,water_sensitive_open_space_areas,certification_as_build_,garden_orientation,number_of_parking_spaces_indoor_,rain_water_tank,demarcated_flooding_area,co2_emission,number_of_showers,wash_room,entry_phone,surface_of_the_cellar_s_,fireplace,vat_applied_,certification_electrical_installation_validity,solar_panels,floor_heating,opportunity_for_professional,total_surface,adaptations_for_elderlies,level_e,level_k,garden,terrace,609af22983804603bea6649c89f568ac_pdf,3db7d3c8c5b0480fbe5874334949d458_pdf,61b91a4b75064bec8e90edc245196cae_pdf,0aa4be20656b4c69943fca725b87c92c_jpg,4316af2f60b841a6be640faa59e71f6e_jpg,certification_gasoil_tank,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
VBD41332,https://immovlan.be/en/detail/residence/for-sale/4031/angleur/vbd41332,house,162500.0,2.0,angleur,80.0,0.0,,0.0,Gas,Normal,416.0,1.0,,,0.0,On contract,0.0,"yes, certificate in accordance",,,,344.0,,,,,,20191119014768,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41378,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd41378,house,129000.0,2.0,chenee,,0.0,1.0,,,Normal,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41316,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd41316,house,179000.0,3.0,bressoux,134.0,0.0,1.0,,Fuel oil,,436.0,,,,,,0.0,,,,72.0,,,,,,North-west,20250930023683,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41392,https://immovlan.be/en/detail/mixed-building/for-sale/4020/liege/vbd41392,house,249000.0,4.0,liege,163.0,0.0,4.0,,Gas,To renovate,197.0,4.0,,,0.0,On contract,,,,,50.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41650,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd41650,house,145000.0,2.0,bressoux,70.0,0.0,1.0,0.0,Gas,Fully renovated,332.0,1.0,,no flooding area,0.0,On contract,0.0,,,,29.0,220.0,,,,0.0,South,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41720,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd41720,house,190000.0,4.0,liege,141.0,0.0,1.0,,Gas,To be renovated,385.0,1.0,,,,Immediately,0.0,"No, certificate does not comply",,,258.0,575.0,,,,0.0,,20250818027061,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41773,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd41773,house,339500.0,3.0,chenee,254.0,0.0,2.0,0.0,Gas,,240.0,2.0,,,0.0,,,"No, certificate does not comply",,,262.0,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD41811,https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbd41811,house,310000.0,,liege,460.0,0.0,,0.0,Gas,To be renovated,,3.0,,no flooding area,0.0,,0.0,,,,195.0,4824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD42165,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd42165,house,129000.0,1.0,grivegnee,82.0,0.0,1.0,0.0,Gas,Normal,323.0,1.0,,no flooding area,0.0,On contract,0.0,"yes, certificate in accordance",,,64.0,354.0,,,,0.0,South-east,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBD42395,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd42395,house,189000.0,3.0,chenee,100.0,0.0,1.0,0.0,Gas,Normal,348.0,1.0,,no flooding area,0.0,On contract,,"yes, certificate in accordance",,,93.0,300.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
